Macrorregiao,Subprefeitura,Distrito,Total,Tipo_Beneficio,Mes,Ano
CENTRO,SE,BELA VISTA,925,BPC,SETEMBRO,2024
CENTRO,SE,BOM RETIRO,1501,BPC,SETEMBRO,2024
CENTRO,SE,CAMBUCI,801,BPC,SETEMBRO,2024
CENTRO,SE,CONSOLACAO,335,BPC,SETEMBRO,2024
CENTRO,SE,LIBERDADE,1086,BPC,SETEMBRO,2024
CENTRO,SE,REPUBLICA,1814,BPC,SETEMBRO,2024
CENTRO,SE,SANTA CECILIA,1566,BPC,SETEMBRO,2024
CENTRO,SE,SE,767,BPC,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,ARICANDUVA,2296,BPC,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,CARRAO,1602,BPC,SETEMBRO,2024
LESTE 1,ARICANDUVA-FORMOSA-CARRAO,VILA FORMOSA,2077,BPC,SETEMBRO,2024
LESTE 1,MOOCA,AGUA RASA,1499,BPC,SETEMBRO,2024
LESTE 1,MOOCA,BELEM,1175,BPC,SETEMBRO,2024
LESTE 1,MOOCA,BRAS,963,BPC,SETEMBRO,2024
LESTE 1,MOOCA,MOOCA,1041,BPC,SETEMBRO,2024
LESTE 1,MOOCA,PARI,525,BPC,SETEMBRO,2024
LESTE 1,MOOCA,TATUAPE,1245,BPC,SETEMBRO,2024
LESTE 1,PENHA,ARTUR ALVIM,2459,BPC,SETEMBRO,2024
LESTE 1,PENHA,CANGAIBA,3589,BPC,SETEMBRO,2024
LESTE 1,PENHA,PENHA,2755,BPC,SETEMBRO,2024
LESTE 1,PENHA,VILA MATILDE,2374,BPC,SETEMBRO,2024
LESTE 1,VILA PRUDENTE,SAO LUCAS,3045,BPC,SETEMBRO,2024
LESTE 1,VILA PRUDENTE,VILA PRUDENTE,1668,BPC,SETEMBRO,2024
LESTE 1,SAPOPEMBA,SAPOPEMBA,8119,BPC,SETEMBRO,2024
LESTE 2,CIDADE TIRADENTES,CIDADE TIRADENTES,6084,BPC,SETEMBRO,2024
LESTE 2,ERMELINO MATARAZZO,ERMELINO MATARAZZO,3420,BPC,SETEMBRO,2024
LESTE 2,ERMELINO MATARAZZO,PONTE RASA,2507,BPC,SETEMBRO,2024
LESTE 2,GUAIANASES,GUAIANASES,3063,BPC,SETEMBRO,2024
LESTE 2,GUAIANASES,LAJEADO,5435,BPC,SETEMBRO,2024
LESTE 2,ITAIM PAULISTA,ITAIM PAULISTA,6513,BPC,SETEMBRO,2024
LESTE 2,ITAIM PAULISTA,VILA CURUCA,4701,BPC,SETEMBRO,2024
LESTE 2,ITAQUERA,CIDADE LIDER,3569,BPC,SETEMBRO,2024
LESTE 2,ITAQUERA,ITAQUERA,5396,BPC,SETEMBRO,2024
LESTE 2,ITAQUERA,JOSE BONIFACIO,2851,BPC,SETEMBRO,2024
LESTE 2,ITAQUERA,PARQUE DO CARMO,1863,BPC,SETEMBRO,2024
LESTE 2,SAO MATEUS,IGUATEMI,4159,BPC,SETEMBRO,2024
LESTE 2,SAO MATEUS,SAO MATEUS,4448,BPC,SETEMBRO,2024
LESTE 2,SAO MATEUS,SAO RAFAEL,3896,BPC,SETEMBRO,2024
LESTE 2,SAO MIGUEL,JARDIM HELENA,4311,BPC,SETEMBRO,2024
LESTE 2,SAO MIGUEL,SAO MIGUEL,2664,BPC,SETEMBRO,2024
LESTE 2,SAO MIGUEL,VILA JACUI,3878,BPC,SETEMBRO,2024
NORTE 1,JACANA-TREMEMBE,JACANA,2636,BPC,SETEMBRO,2024
NORTE 1,JACANA-TREMEMBE,TREMEMBE,5453,BPC,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,MANDAQUI,1964,BPC,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,SANTANA,1735,BPC,SETEMBRO,2024
NORTE 1,SANTANA-TUCURUVI,TUCURUVI,1882,BPC,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA GUILHERME,1039,BPC,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MARIA,2582,BPC,SETEMBRO,2024
NORTE 1,VILA MARIA-VILA GUILHERME,VILA MEDEIROS,3655,BPC,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CACHOEIRINHA,3848,BPC,SETEMBRO,2024
NORTE 2,CASA VERDE-CACHOEIRINHA,CASA VERDE,1868,BPC,SETEMBRO,2024
