Nome,Região,Período,Resultado
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2020,1386
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2017,1105
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2016,763
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2019,1350
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2018,1300
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2025,1560
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2022,2513
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2023,3017
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2013,524
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2014,710
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2024,2288
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2021,1613
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),AGUA RASA (DISTRITO),2015,628
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2015,55
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2023,205
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2020,91
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2018,51
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2024,138
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2021,120
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2019,59
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2014,72
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2017,61
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2016,49
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2022,152
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2013,49
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ALTO DE PINHEIROS (DISTRITO),2025,99
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2020,5017
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2025,3755
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2015,1741
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2019,4334
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2021,5220
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2022,5900
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2013,756
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2017,4181
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2024,5133
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2016,3491
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2018,4531
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2023,7320
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ANHANGUERA (DISTRITO),2014,1292
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2019,2357
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2016,1581
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2018,1928
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2024,3985
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2015,1341
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2021,3183
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2023,5089
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2025,3069
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2020,2868
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2017,2040
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2014,1659
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2013,1187
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA (DISTRITO),2022,3950
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA-FORMOSA-CARRAO (SUBPREFEITURA),2025,6647
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA-FORMOSA-CARRAO (SUBPREFEITURA),2020,6129
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA-FORMOSA-CARRAO (SUBPREFEITURA),2017,4272
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),ARICANDUVA-FORMOSA-CARRAO (SUBPREFEITURA),2021,6960
